ad_id,page_id,query,page_name,ad_creative_bodies,ad_delivery_start_time,bylines,currency,spend_lower,spend_upper,impressions_lower,impressions_upper,ad_snapshot_url,male,female,young,middle,old,delivery_by_region,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,ad_creative_link_captions,ad_creative_link_titles,ad_delivery_stop_time,ad_creative_link_descriptions,concat_text,score,side_inferred,voice_ad_modelled
1349524052241851,102329728050606,voice,Yes23,,2022-08-17,Cape York Institute,AUD,200,299,35000,39999,https://www.facebook.com/ads/library/?id=1349524052241851,0.321701,0.664393,0.908283,0.091716,0.0,"[{'percentage': '0.02575', 'region': 'Australian Capital Territory'}, {'percentage': '0.31466', 'region': 'New South Wales'}, {'percentage': '0.006039', 'region': 'Northern Territory'}, {'percentage': '0.171212', 'region': 'Queensland'}, {'percentage': '0.064907', 'region': 'South Australia'}, {'percentage': '0.008052', 'region': 'Tasmania'}, {'percentage': '0.320395', 'region': 'Victoria'}, {'percentage': '0.088986', 'region': 'Western Australia'}]",0.02575,0.31466,0.006039,0.171212,0.064907,0.008052,0.320395,0.088986,"['instagram.com', 'instagram.com', 'instagram.com', 'instagram.com', 'instagram.com', 'instagram.com']",,2022-08-23,,instagram.com instagram.com instagram.com instagram.com instagram.com instagram.com,90,yes,Not a Voice Ad
1000374964262274,102329728050606,referendum,Yes23,,2023-03-24,Yes23,AUD,2500,2999,1000000,,https://www.facebook.com/ads/library/?id=1000374964262274,0.492202,0.497722,0.718059,0.281941,0.0,"[{'percentage': '1', 'region': 'Queensland'}]",0,0,0,1,0,0,0,0,"['yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au']",,2023-06-06,,yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au,90,yes,Not a Voice Ad
1581381565691990,102329728050606,referendum,Yes23,,2023-03-24,Yes23,AUD,1500,1999,500000,599999,https://www.facebook.com/ads/library/?id=1581381565691990,0.505148,0.484533,0.689846,0.310155,0.0,"[{'percentage': '1', 'region': 'Western Australia'}]",0,0,0,0,0,0,0,1,"['yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au']",,2023-06-06,,yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au,90,yes,Not a Voice Ad
1418948998915338,102329728050606,referendum,Yes23,,2023-03-24,Yes23,AUD,3500,3999,1000000,,https://www.facebook.com/ads/library/?id=1418948998915338,0.517372,0.471867,0.610602,0.389398,0.0,"[{'percentage': '1', 'region': 'New South Wales'}]",0,1,0,0,0,0,0,0,"['yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au']",,2023-06-06,,yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au,90,yes,Not a Voice Ad
737866121217989,102329728050606,referendum,Yes23,,2023-03-24,Yes23,AUD,4000,4499,1000000,,https://www.facebook.com/ads/library/?id=737866121217989,0.498648,0.489272,0.588787,0.411214,0.0,"[{'percentage': '2.0E-6', 'region': 'New South Wales'}, {'percentage': '0.053843', 'region': 'Australian Capital Territory'}, {'percentage': '0.048031', 'region': 'Northern Territory'}, {'percentage': '0.210477', 'region': 'South Australia'}, {'percentage': '0.088572', 'region': 'Tasmania'}, {'percentage': '0.599076', 'region': 'Victoria'}]",0.053843,2.0E-6,0.048031,0,0.210477,0.088572,0.599076,0,"['yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au']",,2023-06-06,,yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au,90,yes,Not a Voice Ad
599947898353857,102329728050606,referendum,Yes23,,2023-03-14,Yes23,AUD,800,899,300000,349999,https://www.facebook.com/ads/library/?id=599947898353857,0.533846,0.455392,0.5494680000000001,0.450534,0.0,"[{'percentage': '1', 'region': 'New South Wales'}]",0,1,0,0,0,0,0,0,"['yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au']",,2023-03-24,,yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au,90,yes,Not a Voice Ad
2446963138791392,102329728050606,referendum,Yes23,,2023-03-14,Yes23,AUD,600,699,200000,249999,https://www.facebook.com/ads/library/?id=2446963138791392,0.507854,0.482764,0.703694,0.296306,0.0,"[{'percentage': '1', 'region': 'Queensland'}]",0,0,0,1,0,0,0,0,"['yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au']",,2023-03-24,,yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au,90,yes,Not a Voice Ad
141122362216653,102329728050606,referendum,Yes23,,2023-03-14,Yes23,AUD,1000,1499,350000,399999,https://www.facebook.com/ads/library/?id=141122362216653,0.514535,0.473724,0.565605,0.434393,0.0,"[{'percentage': '0.048278', 'region': 'Australian Capital Territory'}, {'percentage': '0.049331', 'region': 'Northern Territory'}, {'percentage': '0.23631', 'region': 'South Australia'}, {'percentage': '0.097941', 'region': 'Tasmania'}, {'percentage': '0.568139', 'region': 'Victoria'}]",0.048278,0,0.049331,0,0.23631,0.097941,0.568139,0,"['yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au']",,2023-03-24,,yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au,90,yes,Not a Voice Ad
890082932034439,102329728050606,referendum,Yes23,,2023-03-14,Yes23,AUD,300,399,125000,149999,https://www.facebook.com/ads/library/?id=890082932034439,0.530012,0.459871,0.66768,0.33232,0.0,"[{'percentage': '1', 'region': 'Western Australia'}]",0,0,0,0,0,0,0,1,"['yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au', 'yes23.com.au']",,2023-03-24,,yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au yes23.com.au,90,yes,Not a Voice Ad
1012645926378762,102329728050606,referendum,From the Heart,,2023-02-16,Cape York Institute,AUD,100,199,60000,69999,https://www.facebook.com/ads/library/?id=1012645926378762,1.0,0,0.6582,0.3418,0.0,"[{'percentage': '1', 'region': 'Western Australia'}]",0,0,0,0,0,0,0,1,"['fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au']",,2023-02-24,,fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au,90,yes,Not a Voice Ad
1699640547160923,102329728050606,referendum,Yes23,,2023-02-16,Cape York Institute,AUD,200,299,100000,124999,https://www.facebook.com/ads/library/?id=1699640547160923,1.0,0,0.676752,0.323248,0.0,"[{'percentage': '1', 'region': 'Queensland'}]",0,0,0,1,0,0,0,0,"['fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au']",,2023-02-24,,fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au,90,yes,Not a Voice Ad
928615801895775,102329728050606,referendum,From the Heart,,2023-02-16,Cape York Institute,AUD,500,599,200000,249999,https://www.facebook.com/ads/library/?id=928615801895775,0.543342,0.444097,0.419827,0.580173,0.0,"[{'percentage': '5.0E-6', 'region': 'Victoria'}, {'percentage': '0.999995', 'region': 'New South Wales'}]",0,0.999995,0,0,0,0,5.0E-6,0,"['fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au']",,2023-02-24,,fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au,90,yes,Not a Voice Ad
1703578183405559,102329728050606,referendum,From the Heart,,2023-02-16,Cape York Institute,AUD,1000,1499,400000,449999,https://www.facebook.com/ads/library/?id=1703578183405559,0.527714,0.459787,0.5814900000000001,0.418511,0.0,"[{'percentage': '0.575305', 'region': 'Victoria'}, {'percentage': '0.050891', 'region': 'Australian Capital Territory'}, {'percentage': '0.045886', 'region': 'Northern Territory'}, {'percentage': '0.225876', 'region': 'South Australia'}, {'percentage': '0.102043', 'region': 'Tasmania'}]",0.050891,0,0.045886,0,0.225876,0.102043,0.575305,0,"['fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au', 'fromtheheart.com.au']",,2023-02-24,,fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au fromtheheart.com.au,90,yes,Not a Voice Ad
1249752998951579,102329728050606,referendum,Yes23,,2023-02-02,Cape York Institute,AUD,200,299,60000,69999,https://www.facebook.com/ads/library/?id=1249752998951579,0.279194,0.715234,0.907522,0.092478,0.0,"[{'percentage': '0.018776', 'region': 'Australian Capital Territory'}, {'percentage': '0.304902', 'region': 'New South Wales'}, {'percentage': '0.004889', 'region': 'Northern Territory'}, {'percentage': '0.154361', 'region': 'Queensland'}, {'percentage': '0.06771', 'region': 'South Australia'}, {'percentage': '0.007971', 'region': 'Tasmania'}, {'percentage': '0.344838', 'region': 'Victoria'}, {'percentage': '0.096553', 'region': 'Western Australia'}]",0.018776,0.304902,0.004889,0.154361,0.06771,0.007971,0.344838,0.096553,"['instagram.com', 'instagram.com', 'instagram.com', 'instagram.com', 'instagram.com', 'instagram.com', 'instagram.com', 'instagram.com', 'instagram.com', 'instagram.com']",,2023-02-09,,instagram.com instagram.com instagram.com instagram.com instagram.com instagram.com instagram.com instagram.com instagram.com instagram.com,90,yes,Not a Voice Ad
503531578561517,102329728050606,referendum,Yes23,,2023-01-20,Cape York Institute,AUD,200,299,50000,59999,https://www.facebook.com/ads/library/?id=503531578561517,0.272333,0.721256,0.9076710000000001,0.092328,0.0,"[{'percentage': '0.01898', 'region': 'Australian Capital Territory'}, {'percentage': '0.292906', 'region': 'New South Wales'}, {'percentage': '0.004581', 'region': 'Northern Territory'}, {'percentage': '0.142677', 'region': 'Queensland'}, {'percentage': '0.069476', 'region': 'South Australia'}, {'percentage': '0.00735', 'region': 'Tasmania'}, {'percentage': '0.361476', 'region': 'Victoria'}, {'percentage': '0.102552', 'region': 'Western Australia'}]",0.01898,0.292906,0.004581,0.142677,0.069476,0.00735,0.361476,0.102552,"['instagram.com', 'instagram.com', 'instagram.com', 'instagram.com', 'instagram.com']",,2023-01-26,,instagram.com instagram.com instagram.com instagram.com instagram.com,90,yes,Not a Voice Ad
1400247497184368,113998151684022,referendum,Referendum News,This content was removed because it didn't follow our Advertising Standards.,2023-06-28,Advance Australia,AUD,0,99,0,999,https://www.facebook.com/ads/library/?id=1400247497184368,,,,,,,,,,,,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]","[""This content was removed because it didn't follow our Advertising Standards.""]",2023-06-29,"[""This content was removed because it didn't follow our Advertising Standards.""]",This content was removed because it didn't follow our Advertising Standards. This content was removed because it didn't follow our Advertising Standards. This content was removed because it didn't follow our Advertising Standards. This content was removed because it didn't follow our Advertising Standards.,90,no,Not a Voice Ad
1219135988767519,363375540400009,voice,Linda Burney,I'm holding a community town hall and I want you to come along! Join online or in person by booking your free ticket now 👇 I'm holding a community town hall and I want you to come along! Join online or in person by booking your free ticket now 👇,2023-06-15,Linda Burney,AUD,0,99,0,999,https://www.facebook.com/ads/library/?id=1219135988767519,0.289705,0.698529,0.897058,0.10294,0.0,"[{'percentage': '1', 'region': 'New South Wales'}]",0,1,0,0,0,0,0,0,['events.humanitix.com'],"[""You're invited to my town hall! Grab your free ticket today."", ""You're invited to my town hall! Grab your free ticket today.""]",2023-06-21,,I'm holding a community town hall and I want you to come along! Join online or in person by booking your free ticket now 👇 I'm holding a community town hall and I want you to come along! Join online or in person by booking your free ticket now 👇 You're invited to my town hall! Grab your free ticket today. You're invited to my town hall! Grab your free ticket today. events.humanitix.com,90,,Not a Voice Ad
932825214492794,363375540400009,voice,Linda Burney,I'm holding a community town hall and I want you to come along! Join online or in person by booking your free ticket now 👇 I'm holding a community town hall and I want you to come along! Join online or in person by booking your free ticket now 👇,2023-06-15,Linda Burney,AUD,100,199,20000,24999,https://www.facebook.com/ads/library/?id=932825214492794,0.212424,0.780571,0.92789,0.072109,0.0,"[{'percentage': '1', 'region': 'New South Wales'}]",0,1,0,0,0,0,0,0,['events.humanitix.com'],"[""You're invited to my town hall! Grab your free ticket today."", ""You're invited to my town hall! Grab your free ticket today.""]",2023-06-21,,I'm holding a community town hall and I want you to come along! Join online or in person by booking your free ticket now 👇 I'm holding a community town hall and I want you to come along! Join online or in person by booking your free ticket now 👇 You're invited to my town hall! Grab your free ticket today. You're invited to my town hall! Grab your free ticket today. events.humanitix.com,90,,Not a Voice Ad
2120740264952493,363375540400009,voice,Linda Burney,I'm holding a community town hall and I want you to come along! Join online or in person by booking your free ticket now 👇 I'm holding a community town hall and I want you to come along! Join online or in person by booking your free ticket now 👇,2023-06-14,Linda Burney,AUD,0,99,1000,1999,https://www.facebook.com/ads/library/?id=2120740264952493,0.197238,0.791584,0.930966,0.069032,0.0,"[{'percentage': '1', 'region': 'New South Wales'}]",0,1,0,0,0,0,0,0,['events.humanitix.com'],"[""You're invited to my town hall! Grab your free ticket today."", ""You're invited to my town hall! Grab your free ticket today.""]",2023-06-15,,I'm holding a community town hall and I want you to come along! Join online or in person by booking your free ticket now 👇 I'm holding a community town hall and I want you to come along! Join online or in person by booking your free ticket now 👇 You're invited to my town hall! Grab your free ticket today. You're invited to my town hall! Grab your free ticket today. events.humanitix.com,90,,Not a Voice Ad
1368792746998349,112239124719864,voice,Gen united,"After 12 years of lockouts and lockdowns, it’s time to elect a government that will save our nightlife.",2023-03-15,Gen United,AUD,0,99,20000,24999,https://www.facebook.com/ads/library/?id=1368792746998349,0.42295,0.570285,1.0,0,0.0,"[{'percentage': '1', 'region': 'New South Wales'}]",0,1,0,0,0,0,0,0,['genunited.org.au'],['Save Our Nightlife'],2023-03-25,"[""The current NSW govt has spent 10 years killing our nightlife. We're demanding they adopt our Live Music Rescue Package that will result in more gigs across the state, better and safer jobs and public transport, and new live music venues. Sign our petition now!""]","After 12 years of lockouts and lockdowns, it’s time to elect a government that will save our nightlife. Save Our Nightlife genunited.org.au The current NSW govt has spent 10 years killing our nightlife. We're demanding they adopt our Live Music Rescue Package that will result in more gigs across the state, better and safer jobs and public transport, and new live music venues. Sign our petition now!",90,yes,Not a Voice Ad
176091788079350,112239124719864,voice,Gen united,"After 12 years of lockouts and lockdowns, it’s time to elect a government that will save our nightlife.",2023-03-10,Gen United,AUD,0,99,7000,7999,https://www.facebook.com/ads/library/?id=176091788079350,0.630675,0.362062,1.0,0,0.0,"[{'percentage': '1', 'region': 'New South Wales'}]",0,1,0,0,0,0,0,0,['genunited.org.au'],['Save Our Nightlife'],2023-03-16,"[""The current NSW govt has spent 10 years killing our nightlife. We're demanding they adopt our Live Music Rescue Package that will result in more gigs across the state, better and safer jobs and public transport, and new live music venues. Sign our petition now!""]","After 12 years of lockouts and lockdowns, it’s time to elect a government that will save our nightlife. Save Our Nightlife genunited.org.au The current NSW govt has spent 10 years killing our nightlife. We're demanding they adopt our Live Music Rescue Package that will result in more gigs across the state, better and safer jobs and public transport, and new live music venues. Sign our petition now!",90,yes,Not a Voice Ad
854037162357948,112239124719864,voice,Gen united,After 10 years of lockouts and lockdowns it's time to save Sydney's nightlife After 10 years of lockouts and lockdowns it's time to save Sydney's nightlife,2023-02-03,Gen United,AUD,0,99,0,999,https://www.facebook.com/ads/library/?id=854037162357948,0.535714,0.442857,0.928571,0.071429,0.0,"[{'percentage': '1', 'region': 'New South Wales'}]",0,1,0,0,0,0,0,0,['fb.me'],"['Sign the Petition', 'Sign the Petition']",2023-02-06,"['Call on the major parties to back our nightlife rescue package', 'Call on the major parties to back our nightlife rescue package']",After 10 years of lockouts and lockdowns it's time to save Sydney's nightlife After 10 years of lockouts and lockdowns it's time to save Sydney's nightlife Sign the Petition Sign the Petition fb.me Call on the major parties to back our nightlife rescue package Call on the major parties to back our nightlife rescue package,90,yes,Not a Voice Ad
3356449524609155,112239124719864,voice,Gen united,After 10 years of lockouts and lockdowns it's time to save Sydney's nightlife,2023-02-03,Gen United,AUD,0,99,0,999,https://www.facebook.com/ads/library/?id=3356449524609155,0.356574,0.611553,0.9741029999999999,0.025896,0.0,"[{'percentage': '1', 'region': 'New South Wales'}]",0,1,0,0,0,0,0,0,['fb.me'],['Sign the Petition'],2023-02-06,['Call on the major parties to back our nightlife rescue package'],After 10 years of lockouts and lockdowns it's time to save Sydney's nightlife Sign the Petition fb.me Call on the major parties to back our nightlife rescue package,90,yes,Not a Voice Ad
1948273132207834,112239124719864,referendum,Gen united,"also, if you are 16 you can enroll now so your ready when you turn 18! #auspol #genunited",2023-07-08,Gen United,AUD,100,199,20000,24999,https://www.facebook.com/ads/library/?id=1948273132207834,0.458124,0.506604,0.9999480000000001,0,5.2e-05,"[{'percentage': '0.000416', 'region': 'Unknown'}, {'percentage': '0.030566', 'region': 'Australian Capital Territory'}, {'percentage': '0.298227', 'region': 'New South Wales'}, {'percentage': '0.009617', 'region': 'Northern Territory'}, {'percentage': '0.245984', 'region': 'Queensland'}, {'percentage': '0.06763', 'region': 'South Australia'}, {'percentage': '0.019494', 'region': 'Tasmania'}, {'percentage': '0.216406', 'region': 'Victoria'}, {'percentage': '0.11166', 'region': 'Western Australia'}]",0.030566,0.298227,0.009617,0.245984,0.06763,0.019494,0.216406,0.11166,,,2023-07-26,,"also, if you are 16 you can enroll now so your ready when you turn 18! #auspol #genunited",90,yes,Not a Voice Ad
